cortar,Camara,tiktok_id,url
no,normal,hammerthrow,https://www.tiktok.com/@_iamkendric/video/6820908962901134597?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@esrefapak/video/6913201097037417730?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@esrefapak/video/6919874718375988482?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@natalliahammer/video/7064452045796871429?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@aiden.droge/video/6957751124887604485?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@andrewwhodgins/video/6744406142673374469?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@andrewwhodgins/video/6748027485637692677?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@michalisht/video/6721273601837780230?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@discus_joe/video/6951515492704111877?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@10000gecs/video/6969680747175120133?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@aiden.droge/video/6958967468836654342?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@4turnz/video/6933694515391909125?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@fitwithmarieluise/video/7066478810761284869?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@nodaysoff/video/7070595320207428910?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@michaelbryan256/video/6959615140958342406?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@saltsmanal101/video/7070700193355697451?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@d_haugh/video/6933422092738186501?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@esrefapak/video/6824528115318967557?is_copy_url=1&is_from_webapp=v1
si,normal,hammerthrow,https://www.tiktok.com/@itsnady_/video/6955581973913931014?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@annamariaorel/video/7024580812255300870?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@tonysommers/video/6845745790380412166?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@kira__paige/video/6967798531868331270?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@esrefapak/video/6818524821077462278?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@moximoments/video/7062466588951268614?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@uvathrows/video/6957099032112024838?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@michalisht/video/6721231464601586950?is_copy_url=1&is_from_webapp=v1
si,lento,hammerthrow,https://www.tiktok.com/@uvathrows/video/6959738973375728902?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@iammehmetkas/video/6927350161442213122?is_copy_url=1&is_from_webapp
si,normal,hammerthrow,https://www.tiktok.com/@thearianarodriguez/video/6975573573054319878?is_copy_url=1&is_from_webapp=v1
si,normal,hammerthrow,https://www.tiktok.com/@hannahthrowshammer/video/6996398393614437637?is_copy_url=1&is_from_webapp=v1
si,lento,hammerthrow,https://www.tiktok.com/@naethrowsheavyrock/video/6939529108602850565?is_copy_url=1&is_from_webapp=v1
si,normal,hammerthrow,https://www.tiktok.com/@esrefapak/video/6892232950025342210?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@esrefapak/video/6820415807328111878?is_copy_url=1&is_from_webapp=v1
si,normal,hammerthrow,https://www.tiktok.com/@esrefapak/video/6946280343318039809?is_copy_url=1&is_from_webapp=v1
no,lento,hammerthrow,https://www.tiktok.com/@itsnady_/video/6954126456289086725?is_copy_url=1&is_from_webapp=v1
si,normal,hammerthrow,https://www.tiktok.com/@michaelbryan256/video/7062465922396851502?is_copy_url=1&is_from_webapp=v1
